,pdf_name,typ,frq,si_app,th_strat,th_meas,mt_uV,th_ri,mt_contr,si_pct,si_pct_min,si_pct_max,mso,stim_co,stim_mo,coil_shp,coil_siz,coil_mo,note,contrib_id,PMID,doi,link
0,Avery_1999_JNervMentDis_10067953.pdf,rTMS,10.0,MT,,,,,,80.0,,,,Cad,HS,,,,,1,10067953,10.1097/00005053-199902000-00009,https://doi.org/10.1097/00005053-199902000-00009
1,Epstein_1999_ClinNeurophysiol_10402094.pdf,rTMS,4.0,RMT,ML,E,50.0,5_10,,,100.0,137.0,,,,,,,device: no information; coil_mo: prototyped iron core ,1,10402094,10.1016/s1388-2457(99)00047-4,https://doi.org/10.1016/s1388-2457(99)00047-4
2,Ghabra_1999_Neurology_10078725.pdf,rTMS,5.0,RMT,ML,E,50.0,5_10,,,75.0,85.0,,MedDan,MP,F8,,,multiple stimulators: MagSti SR,1,10078725,10.1212/wnl.52.4.768,https://doi.org/10.1212/wnl.52.4.768
3,Klein_1999_BiolPsychiatry_10578460.pdf,rTMS,1.0,MT,ML,,,,,110.0,,,,Cad,MES10,R,90.0,,coil_siz: external diameter; mso: 0.95 Tesla,1,10578460,10.1016/s0006-3223(99)00182-1,https://doi.org/10.1016/s0006-3223(99)00182-1
4,Mally_1999_JNeurol_10202984.pdf,rTMS,1.0,MT,ML,E,50.0,,,20.0,,,12.0,MedDan,MP,,120.0,MC125,coil_siz: outer diameter,1,10202984,10.1016/s0022-510x(98)00318-9,https://doi.org/10.1016/s0022-510x(98)00318-9
5,Menkes_1999_JNeurolNeurosurgPsychiatry_10369835.pdf,rTMS,0.5,MT,,,,3_6,,100.0,,,48.3,Cad,MES10,,,,group: healthy; MSO range: 45-55%,1,10369835,10.1136/jnnp.67.1.113,https://doi.org/10.1136/jnnp.67.1.113
6,Menkes_1999_JNeurolNeurosurgPsychiatry_10369835.pdf,rTMS,0.5,MT,,,,3_6,,100.0,,,49.4,Cad,MES10,,,,group: depressed; MSO range: 45-55%,1,10369835,10.1136/jnnp.67.1.113,https://doi.org/10.1136/jnnp.67.1.113
7,Nahas_1999_JClinPsychiatry_10074879.pdf,rTMS,5.0,MT,,,,,,100.0,,,48.0,Cad,HS,F8,,WC,,1,10074879,10.4088/jcp.v60n0111,https://doi.org/10.4088/jcp.v60n0111
8,Oliviero_1999_JNeurol_10653309.pdf,rTMS,0.25,FXD,,,,,,,,,100.0,MagSti,200,F8,,,,1,10653309,10.1007/s004150050536,https://doi.org/10.1007/s004150050536
9,Padberg_1999_PsychiatryRes_10622338.pdf,rTMS,10.0,MT,ML_CITE,,,,,90.0,,,47.97,MagSti,R,F8,70.0,,MSO individual: Table 1,1,10622338,10.1016/s0165-1781(99)00092-x,https://doi.org/10.1016/s0165-1781(99)00092-x
10,Padberg_1999_PsychiatryRes_10622338.pdf,rTMS,0.3,MT,ML_CITE,,,,,90.0,,,51.93000000000001,MagSti,R,F8,70.0,,MSO individual: Table 1,1,10622338,10.1016/s0165-1781(99)00092-x,https://doi.org/10.1016/s0165-1781(99)00092-x
